Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Noor Ahmad,20000000,100000000,Capped
2,Ravichandaran Ashwin,20000000,97500000,Capped
3,Devon Conway,20000000,62500000,Capped
4,Syed Khaleel Ahmed,20000000,48000000,Capped
5,Rachin Ravindra,15000000,40000000,Capped
6,Anshul Kamboj,3000000,34000000,Uncapped
7,Rahul Tripathi,7500000,34000000,Capped
8,Sam Curran,20000000,24000000,Capped
9,Gurjapneet Singh,3000000,22000000,Uncapped
10,Nathan Ellis,12500000,20000000,Capped
11,Deepak Hooda,7500000,17000000,Capped
12,Jamie Overton,15000000,15000000,Capped
13,Vijay Shankar,3000000,12000000,Uncapped
14,Vansh Bedi,3000000,5500000,Uncapped
15,Andre Siddarth,3000000,3000000,Uncapped
16,Shreyas Gopal,3000000,3000000,Uncapped
17,Ramakrishna Ghosh,3000000,3000000,Uncapped
18,Kamlesh Nagarkoti,3000000,3000000,Uncapped
19,Mukesh Choudhary,3000000,3000000,Uncapped
20,Shaik Rasheed,3000000,3000000,Uncapped
1,KL Rahul,20000000,140000000,Capped
2,Mitchell Starc,20000000,117500000,Capped
3,T. Natarajan,20000000,107500000,Capped
4,Jake Fraser-Mcgurk (R),20000000,90000000,Capped
5,Mukesh Kumar (R),20000000,80000000,Capped
6,Harry Brook,20000000,62500000,Capped
7,Ashutosh Sharma,3000000,38000000,Uncapped
8,Mohit Sharma,5000000,22000000,Uncapped
9,Faf Du Plessis,20000000,20000000,Capped
10,Sameer Rizvi,3000000,9500000,Uncapped
11,Donovan Ferreira,7500000,7500000,Capped
12,Dushmantha Chameera,7500000,7500000,Capped
13,Vipraj Nigam,3000000,5000000,Uncapped
14,Karun Nair,3000000,5000000,Uncapped
15,Madhav Tiwari,3000000,4000000,Uncapped
16,Tripurana Vijay,3000000,3000000,Uncapped
17,Manvanth Kumar L,3000000,3000000,Uncapped
18,Ajay Mandal,3000000,3000000,Uncapped
19,Darshan Nalkande,3000000,3000000,Uncapped
1,Jos Buttler,20000000,157500000,Capped
2,Mohammad Siraj,20000000,122500000,Capped
3,Kagiso Rabada,20000000,107500000,Capped
4,Prasidh Krishna,20000000,95000000,Capped
5,Washington Sundar,20000000,32000000,Capped
6,Sherfane Rutherford,15000000,26000000,Capped
7,Gerald Coetzee,12500000,24000000,Capped
8,Glenn Phillips,20000000,20000000,Capped
9,R. Sai Kishore,7500000,20000000,Capped
10,Mahipal Lomror,5000000,17000000,Uncapped
11,Gurnoor Singh Brar,3000000,13000000,Uncapped
12,Mohd. Arshad Khan,3000000,13000000,Uncapped
13,Karim Janat,7500000,7500000,Capped
14,Jayant Yadav,7500000,7500000,Capped
15,Ishant Sharma,7500000,7500000,Capped
16,Kumar Kushagra,3000000,6500000,Uncapped
17,Kulwant Khejroliya,3000000,3000000,Uncapped
18,Manav Suthar,3000000,3000000,Uncapped
19,Anuj Rawat,3000000,3000000,Uncapped
20,Nishant Sindhu,3000000,3000000,Uncapped
1,Venkatesh Iyer,20000000,237500000,Capped
2,Anrich Nortje,20000000,65000000,Capped
3,Quinton De Kock,20000000,36000000,Capped
4,Angkrish Raghuvanshi,3000000,30000000,Uncapped
5,Spencer Johnson,20000000,28000000,Capped
